SensorType,hart,time
HRMLED RED,545.0,2017-05-13 23:38:48.412
HRMLED RED,591.0,2017-05-13 23:38:48.422
HRMLED RED,632.0,2017-05-13 23:38:48.434
HRMLED RED,689.0,2017-05-13 23:38:48.442
HRMLED RED,751.0,2017-05-13 23:38:48.452
HRMLED RED,832.0,2017-05-13 23:38:48.462
HRMLED RED,929.0,2017-05-13 23:38:48.472
HRMLED RED,1046.0,2017-05-13 23:38:48.488
HRMLED RED,1204.0,2017-05-13 23:38:48.492
HRMLED RED,1408.0,2017-05-13 23:38:48.505
HRMLED RED,1598.0,2017-05-13 23:38:48.512
HRMLED RED,1752.0,2017-05-13 23:38:48.523
HRMLED RED,1911.0,2017-05-13 23:38:48.536
HRMLED RED,2091.0,2017-05-13 23:38:48.543
HRMLED RED,2329.0,2017-05-13 23:38:48.553
HRMLED RED,2642.0,2017-05-13 23:38:48.563
HRMLED RED,3019.0,2017-05-13 23:38:48.573
HRMLED RED,3438.0,2017-05-13 23:38:48.586
HRMLED RED,3828.0,2017-05-13 23:38:48.593
HRMLED RED,4130.0,2017-05-13 23:38:48.603
HRMLED RED,4373.0,2017-05-13 23:38:48.613
HRMLED RED,4691.0,2017-05-13 23:38:48.627
HRMLED RED,5168.0,2017-05-13 23:38:48.636
HRMLED RED,5825.0,2017-05-13 23:38:48.644
HRMLED RED,6764.0,2017-05-13 23:38:48.655
HRMLED RED,8304.0,2017-05-13 23:38:48.663
HRMLED RED,10916.0,2017-05-13 23:38:48.673
HRMLED RED,14964.0,2017-05-13 23:38:48.686
HRMLED RED,20096.0,2017-05-13 23:38:48.693
HRMLED RED,25270.0,2017-05-13 23:38:48.704
HRMLED RED,29696.0,2017-05-13 23:38:48.713
HRMLED RED,32272.0,2017-05-13 23:38:48.724
HRMLED RED,32516.0,2017-05-13 23:38:48.748
HRMLED RED,32681.0,2017-05-13 23:38:48.752
HRMLED RED,33011.0,2017-05-13 23:38:48.763
HRMLED RED,33134.0,2017-05-13 23:38:48.764
